ticker	Date	Shares	Price	Cost	Type
NYSE:AZUL	25/08/2020	334.79	14.7101167896	4924.8	Buy
NYSE:AZUL	03/02/21	128.54	23.5802084954	3031	Buy
NYSE:BA	24/03/2023	55.1	181.4882032668	10000	Buy
NasdaqGS:MSFT	27/03/2023	254.64	289.2432060949	73652.89	Buy
NasdaqGS:AMZN	17/04/2023	529.51	103.8696153047	55000	Buy
NasdaqGS:JD	07/05/23	1088.56	33.9898581612	37000	Buy
NasdaqGS:JD	23/05/2023	137.48	36.3700174571	5000.15	Buy
NasdaqGS:AMZN	26/05/2023	529.51	123.9795471285	65648.41	Sell
NasdaqGS:JD	29/05/2023	396.27	39.6699220229	15720	Buy
NasdaqGS:JD	16/06/2023	212.33	35.3694720482	7510	Buy
NYSE:RTX	10/07/23	350.3	85.6408792464	30000	Buy
NYSE:RTX	17/07/2023	59.15	84.5308537616	5000	Buy
NYSE:GD	29/07/2023	133.76	224.2822966507	30000	Buy
NasdaqGS:JD	12/08/23	1088.56	34.9198574263	38012.36	Sell
NasdaqGS:QCOM	12/08/23	266.74	112.4690710055	30000	Buy
NasdaqGS:QCOM	20/08/2023	43.89	113.9211665527	5000	Buy
NasdaqGS:QCOM	26/08/2023	266.74	112.6090575092	30037.34	Sell
NasdaqGS:QCOM	27/08/2023	43.89	113.4511278195	4979.37	Sell
NYSE:GD	27/08/2023	45.72	218.7226596675	10000	Buy
NasdaqGS:MSFT	05/09/23	31.45	317.9650238474	10000	Buy
NasdaqGS:MSFT	19/09/2023	31.45	317.9249602544	9998.74	Sell
NYSE:AXP	26/09/2023	265.14649	150.86	39999.9994814	Buy
NYSE:GD	26/09/2023	179.48	239.5074102964	42986.79	Sell
NasdaqGS:MSFT	02/10/23	254.64	336.1138077286	85588.02	Sell
NYSE:AXP	02/10/23	33.33	150.0150015002	5000	Buy
NYSE:AXP	03/10/23	69.42	144.0507058485	10000	Buy
NYSE:AXP	03/10/23	69.42	143.6607605877	9972.93	Sell
NYSE:AXP	16/10/2023	33.42	149.6110113704	5000	Buy
NYSE:BABA	31/10/2023	229.26	87.2399895315	20000.64	Buy
NYSE:BABA	01/11/23	125.05	79.9680127949	10000	Buy
NYSE:BABA	01/11/23	126.26	79.2016473943	10000	Buy
NYSE:AZUL	23/11/2023	496.86	9.8699834964	4904	Buy
NasdaqGS:JD	26/11/2023	392.62	25.4699200245	10000	Buy
NYSE:BABA	28/11/2023	70.53	70.8918190841	5000	Buy
NYSE:RTX	26/12/2023	409.45	86.0299914519	35224.98	Sell
NYSE:BABA	01/01/24	71.54	69.8909700867	5000	Buy
NasdaqGS:JD	12/02/24	208.42	23.9900201516	5000	Buy
NasdaqGS:GOOGL	13/02/2024	145.6134	137.35	20000.00049	Buy
NasdaqGS:AAPL	14/02/2024	55.56	180	10000.8	Buy
NasdaqGS:GOOGL	19/02/2024	75.34	132.7316166711	10000	Buy
NasdaqGS:GOOGL	22/02/2024	147.83	135.290536427	20000	Buy
NasdaqGS:AAPL	28/02/2024	29	172.3337931034	4997.68	Buy
NYSE:BA	28/02/2024	109.68	182.34865062	20000	Buy
XTRA:BOSS	06/03/24	505.96	54.26	27453.3896	Buy
XTRA:BOSS	03/04/24	94.66	49.51	4686.6166	Buy
NYSE:BA	08/04/24	30.5	163.9344262295	5000	Buy
XTRA:BOSS	16/04/2024	98.95	47.2	4670.44	Buy
ARCA:VOO	15/06/2024	13.00603	502.383	6534.00836949	Buy
XTRA:BOSS	23/06/2024	114.91	40.22	4621.6802	Buy
NYSE:PAYC	26/06/2024	140.85499	141.99	20000.0000301	Buy
NYSE:MOH	04/07/24	34.13202	292.98	9999.9992196	Buy
ENXTPA:MC	16/07/2024	28.17	654.54	18438.3918	Buy
ARCA:VOO	04/08/24	7.73	491.5912031048	3800	Buy
NYSE:AZUL	05/08/24	960.19	3.7999979171	3648.72	Sell
ARCA:VOO	26/08/2024	7.44	510.752688172	3800	Buy
ENXTPA:MC	29/08/2024	7.35	612.7	4503.345	Buy
NYSE:BABA	18/09/2024	622.64	102.6200051394	63895.32	Sell
NasdaqGS:JD	23/09/2024	1347.12	42.0800002969	56686.81	Sell
ARCA:VOO	24/09/2024	5.36	522.3880597015	2800	Buy
ENXTPA:MC	07/10/24	7.26	630.8	4579.608	Buy
NYSE:MOH	09/10/24	34.48	290.0232018561	10000	Buy
NYSE:MOH	14/10/2024	34.88	286.6972477064	10000	Buy
ARCA:VOO	28/10/2024	5.32	526.3157894737	2800	Buy
ENXTPA:MC	06/11/24	8.26	570.9	4715.634	Buy
NYSE:GOLD	10/11/24	1162.12	17.2099266857	20000	Buy
ARCA:VOO	02/12/24	4.17	555.1534772182	2314.99	Buy
SWX:NESN	06/12/24	232.66	75.62	17593.7492	Buy
NYSE:BA	24/12/2024	195.28	179.9399836133	35138.68	Sell
ARCA:VOO	02/02/25	0.33	553.6666666667	182.71	Buy
NasdaqCM:SRTS	04/02/25	5000	6.02	30100	Buy
ARCA:VOO	07/02/25	4.1	553.3804878049	2268.86	Buy
ARCA:VOO	11/02/25	0.36	548.9166666667	197.61	Buy
NYSE:MOH	16/02/2025	36	270.18	9726.48	Buy
SWX:NESN	03/03/25	232.66	89.3000085962	20776.54	Sell
ENXTPA:MC	09/03/25	51.04	632.3699059561	32276.16	Sell
NasdaqGS:AAPL	10/03/25	84.56	220.4200567644	18638.72	Sell
NasdaqGS:GOOGL	10/03/25	60.38	165.6177542233	10000	Buy
NasdaqGS:GOOGL	18/03/2025	61.49	162.6228655066	9999.68	Buy
ARCA:VOO	02/04/25	0.29	507.2068965517	147.09	Buy
ARCA:VOO	02/04/25	5.4	500.0018518519	2700.01	Buy
NasdaqGS:GOOGL	05/04/25	70	144.62	10123.4	Buy
ENXTAM:ASML	06/04/25	34.8432	574	19999.9968	Buy
ARCA:VOO	07/04/25	5	480.902	2404.51	Buy
ENXTAM:ASML	15/04/2025	8.66	580.752886836	5029.32	Buy
ENXTAM:ASML	21/04/2025	19	552.6	10499.4	Buy
XTRA:BOSS	21/04/2025	814.48	33.4799995089	27268.79	Sell
ENXTAM:ASML	25/04/2025	28.78	583.6323835997	16796.94	Buy
ENXTAM:ASML	28/05/2025	45.37	661.2285651311	29999.94	Buy
NasdaqGS:GOOGL	28/05/2025	115.04	173.8524860918	19999.99	Buy
ARCA:VOO	04/06/25	58.50603	547.9627414117	32061.3	Sell
NYSE:MOH	11/06/25	34.01	294.0305792414	9999.98	Buy
NYSE:CRM	17/06/2025	152.19	262.8342860898	40000.75	Buy
NYSE:MOH	02/07/25	38.93	256.871307475	10000	Buy
ENXTAM:ASML	04/07/25	15.2	657.8914473684	9999.95	Buy
NYSE:CRM	15/07/2025	19.22	260.1451612903	4999.99	Buy
NasdaqGS:DUOL	21/08/2025	58.58	341.4136223967	20000.01	Buy
NYSE:GOLD	21/08/2025	1162.12	25.5099989674	29645.68	Sell
ENXTAM:ASML	01/09/25	16	638.3125	10213	Buy
NasdaqGS:GOOGL	04/09/25	50	227.75	11387.5	Buy
NYSE:CRM	04/09/25	21	241.86	5079.06	Buy
ARCA:VOO	08/09/25	4.32	597.4490740741	2580.98	Buy
NasdaqGS:DUOL	09/09/25	18.63	268.3843263553	5000	Buy
ENXTPA:MC	10/09/25	0.36	490.6666666667	176.64	Buy
NasdaqGS:ADBE	15/09/2025	20	356.1	7122	Buy
NasdaqGS:ADBE	17/09/2025	50	355.64	17782	Buy
NYSE:UNH	17/09/2025	45	341.47	15366.15	Buy
NYSE:V	17/09/2025	88.21	339.9500056683	29986.99	Buy
NYSE:UNH	22/09/2025	15	340.47	5107.05	Buy
NYSE:BRK.B	25/09/2025	31	494.7	15335.7	Buy
NYSE:SPGI	06/10/25	31	479.48	14863.88	Buy
NYSE:BRK.B	07/10/25	5.39	499.8126159555	2693.99	Buy
NYSE:BRK.B	07/10/25	5.39	499.8126159555	2693.99	Buy
ENXTPA:MC	10/10/25	0.35	571.4285714286	200	Buy
NasdaqGS:ADBE	15/10/2025	15	331.32	4969.8	Buy
NYSE:EFX	29/10/2025	25	219.62	5490.5	Buy
NYSE:BRK.B	06/11/25	5	492.69	2463.45	Buy
ENXTPA:MC	10/11/25	0.77	615.6363636364	474.04	Buy
NasdaqGS:ADBE	10/11/25	14.8	328.0202702703	4854.7	Buy
NasdaqGS:ADBE	20/11/2025	15	318.5	4777.5	Buy
ENXTPA:MC	10/12/25	0.33	609.2121212121	201.04	Buy
NasdaqGS:ADBE	10/12/25	14.53	344.1135581555	4999.97	Buy
ENXTPA:MC	26/12/2025	0.62	633.1451612903	392.55	Buy
NYSE:BRK.B	02/01/26	5	494.4	2472	Buy
NasdaqGS:ADBE	16/01/2026	20	303.58	6071.6	Buy
NasdaqGS:ADBE	27/01/2026	34	303.6	10322.4	Buy
NasdaqGS:ADBE	29/01/2026	18	288.33	5189.94	Buy
NYSE:SPGI	02/02/26	21	471.39	9899.19	Buy
NasdaqGS:MSFT	06/02/26	51	395.59	20175.09	Buy
NasdaqGS:MSFT	18/02/2026	38	398.11	15128.18	Buy
